Date	Price	Open	High	Low	Vol.	Change %
11/03/2022	113,39	113	113,39	112,78	23.02K	0,55%
11/01/2022	112,77	113,8	113,81	112,4	26.27K	-0,34%
10/31/2022	113,15	113,18	113,29	112	20.87K	-0,22%
10/28/2022	113,4	113,84	113,94	113,23	25.25K	-0,39%
10/27/2022	113,84	113,65	113,84	113,22	24.90K	0,04%
10/26/2022	113,8	113,48	113,84	113,01	33.06K	0,27%
10/25/2022	113,49	113,5	113,5	112,55	26.73K	-0,01%
10/24/2022	113,5	112,34	113,5	112,34	27.44K	1,03%
10/21/2022	112,34	112,79	112,98	112,11	20.10K	0,08%
10/20/2022	112,25	112,37	112,98	111,61	28.96K	-0,09%
10/19/2022	112,35	112,47	112,75	111,33	30.85K	-0,11%
10/18/2022	112,47	111,21	112,49	111,21	26.92K	1,14%
10/17/2022	111,2	112,8	113,25	110,2	38.70K	-1,01%
10/14/2022	112,34	113,1	113,65	112,03	26.15K	-0,67%
10/13/2022	113,1	113,74	113,74	112,56	26.49K	-0,63%
10/11/2022	113,82	113,8	113,98	113,35	24.44K	0,02%
10/10/2022	113,8	113,55	114	113,03	28.04K	0,32%
10/07/2022	113,44	111,22	113,75	111,22	28.03K	2,00%
10/06/2022	111,22	109,42	112,23	109,3	31.67K	1,65%
10/05/2022	109,42	108,4	110,21	108,13	25.09K	1,30%
10/04/2022	108,02	110,02	111	107,27	44.66K	-1,82%
10/03/2022	110,02	110,75	110,75	109,65	27.20K	-1,32%
09/30/2022	111,49	109,74	111,49	109,74	20.67K	1,59%
09/29/2022	109,74	109,99	110,15	109,62	19.76K	0,01%
09/28/2022	109,73	109,87	110,15	109,65	23.95K	-0,13%
09/27/2022	109,87	109,99	110,12	109,65	27.01K	0,23%
09/26/2022	109,62	109,9	110	109,55	25.80K	-0,25%
09/23/2022	109,9	109,87	110	109,65	25.61K	0,05%
09/22/2022	109,85	109,56	109,99	109,55	27.14K	0,27%
09/21/2022	109,55	109,78	109,87	109,25	22.78K	-0,21%
09/20/2022	109,78	109,8	110	109,5	31.38K	0,07%
09/19/2022	109,7	110	110,41	109,63	27.67K	-0,27%
09/16/2022	110	110,17	110,59	109,88	21.95K	0,09%
09/15/2022	109,9	109,88	110,32	109,6	27.27K	0,03%
09/14/2022	109,87	110,41	110,7	109,58	22.56K	-0,03%
09/13/2022	109,9	110,21	110,48	109,5	18.81K	-0,09%
09/12/2022	110	110,85	111,21	110	27.76K	-0,77%
09/09/2022	110,85	110,73	111	110,4	17.55K	0,14%
09/08/2022	110,7	111,2	111,83	110,49	17.95K	-0,45%
09/06/2022	111,2	111,56	112	111,2	24.11K	-0,27%
09/05/2022	111,5	111,8	112,2	111,5	22.04K	-0,33%
09/02/2022	111,87	111,2	112	111,2	20.00K	0,60%
09/01/2022	111,2	112,35	113	110,2	27.82K	-0,48%
08/31/2022	111,74	110,94	112,06	110,6	22.22K	0,08%
08/30/2022	111,65	111,19	112,21	111,02	18.21K	0,79%
08/29/2022	110,77	109,79	111	109,5	23.93K	0,89%
08/26/2022	109,79	109,43	110	108,75	22.24K	0,33%
08/25/2022	109,43	109,24	109,79	109,05	17.30K	0,17%
08/24/2022	109,24	109,06	109,35	108,81	17.84K	0,23%
08/23/2022	108,99	108,98	109,35	108,77	43.86K	0,01%
08/22/2022	108,98	108,3	109,37	108,3	22.86K	0,54%
08/19/2022	108,4	108	108,75	107,79	25.94K	0,40%
08/18/2022	107,97	107,2	107,99	107,01	20.76K	0,72%
08/17/2022	107,2	106,92	107,39	106,7	24.64K	0,26%
08/16/2022	106,92	105,97	107	105,8	25.51K	1,06%
08/15/2022	105,8	105	106	105	29.76K	0,90%
08/12/2022	104,86	104,5	105,49	104,5	21.31K	0,34%
08/11/2022	104,5	104,23	105,07	104,22	22.48K	0,26%
08/10/2022	104,23	103,96	104,6	103,79	20.27K	0,27%
08/09/2022	103,95	102,82	104,49	102,81	21.02K	1,10%
08/08/2022	102,82	102,37	103	102,3	20.37K	0,44%
